CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;09/02/2018;10;0,224;R
ES0021000001720511XQ;09/02/2018;11;0,313;R
ES0021000001720511XQ;09/02/2018;12;1,407;R
ES0021000001720511XQ;09/02/2018;13;1,972;R
ES0021000001720511XQ;09/02/2018;14;1,536;R
ES0021000001720511XQ;09/02/2018;15;1,674;R
ES0021000001720511XQ;09/02/2018;16;1,819;R
ES0021000001720511XQ;09/02/2018;17;2,274;R
ES0021000001720511XQ;09/02/2018;18;2,870;R
ES0021000001720511XQ;09/02/2018;19;3,110;R
ES0021000001720511XQ;09/02/2018;20;2,905;R
ES0021000001720511XQ;09/02/2018;21;1,269;R
ES0021000001720511XQ;09/02/2018;22;2,554;R
ES0021000001720511XQ;09/02/2018;23;2,948;R
ES0021000001720511XQ;09/02/2018;24;3,354;R
ES0021000001720511XQ;10/02/2018;1;0,897;E
ES0021000001720511XQ;10/02/2018;2;0,726;E
ES0021000001720511XQ;10/02/2018;3;0,626;E
ES0021000001720511XQ;10/02/2018;4;0,573;E
ES0021000001720511XQ;10/02/2018;5;0,552;E
ES0021000001720511XQ;10/02/2018;6;0,553;E
ES0021000001720511XQ;10/02/2018;7;0,588;E
ES0021000001720511XQ;10/02/2018;8;0,669;E
ES0021000001720511XQ;10/02/2018;9;0,850;E
ES0021000001720511XQ;10/02/2018;10;1,102;E
ES0021000001720511XQ;10/02/2018;11;1,290;E
ES0021000001720511XQ;10/02/2018;12;1,330;E
ES0021000001720511XQ;10/02/2018;13;1,337;E
ES0021000001720511XQ;10/02/2018;14;1,379;E
ES0021000001720511XQ;10/02/2018;15;1,343;E
ES0021000001720511XQ;10/02/2018;16;1,227;E
ES0021000001720511XQ;10/02/2018;17;1,154;E
ES0021000001720511XQ;10/02/2018;18;1,139;E
ES0021000001720511XQ;10/02/2018;19;1,212;E
ES0021000001720511XQ;10/02/2018;20;1,323;E
ES0021000001720511XQ;10/02/2018;21;1,399;E
ES0021000001720511XQ;10/02/2018;22;1,409;E
ES0021000001720511XQ;10/02/2018;23;1,274;E
ES0021000001720511XQ;10/02/2018;24;1,093;E
ES0021000001720511XQ;11/02/2018;1;0,873;E
ES0021000001720511XQ;11/02/2018;2;0,712;E
ES0021000001720511XQ;11/02/2018;3;0,609;E
ES0021000001720511XQ;11/02/2018;4;0,555;E
ES0021000001720511XQ;11/02/2018;5;0,531;E
ES0021000001720511XQ;11/02/2018;6;0,527;E
ES0021000001720511XQ;11/02/2018;7;0,544;E
ES0021000001720511XQ;11/02/2018;8;0,590;E
ES0021000001720511XQ;11/02/2018;9;0,705;E
ES0021000001720511XQ;11/02/2018;10;0,912;E
ES0021000001720511XQ;11/02/2018;11;1,101;E
ES0021000001720511XQ;11/02/2018;12;1,185;E
ES0021000001720511XQ;11/02/2018;13;1,212;E
ES0021000001720511XQ;11/02/2018;14;1,262;E
ES0021000001720511XQ;11/02/2018;15;1,245;E
ES0021000001720511XQ;11/02/2018;16;1,123;E
ES0021000001720511XQ;11/02/2018;17;1,056;E
ES0021000001720511XQ;11/02/2018;18;1,044;E
ES0021000001720511XQ;11/02/2018;19;1,149;E
ES0021000001720511XQ;11/02/2018;20;1,319;E
ES0021000001720511XQ;11/02/2018;21;1,434;E
ES0021000001720511XQ;11/02/2018;22;1,435;E
ES0021000001720511XQ;11/02/2018;23;1,250;E
ES0021000001720511XQ;11/02/2018;24;1,014;E
ES0021000001720511XQ;12/02/2018;1;0,619;E
ES0021000001720511XQ;12/02/2018;2;0,494;E
ES0021000001720511XQ;12/02/2018;3;0,435;E
ES0021000001720511XQ;12/02/2018;4;0,409;E
ES0021000001720511XQ;12/02/2018;5;0,403;E
ES0021000001720511XQ;12/02/2018;6;0,418;E
ES0021000001720511XQ;12/02/2018;7;0,501;E
ES0021000001720511XQ;12/02/2018;8;0,695;E
ES0021000001720511XQ;12/02/2018;9;0,844;E
ES0021000001720511XQ;12/02/2018;10;0,932;E
ES0021000001720511XQ;12/02/2018;11;1,009;E
ES0021000001720511XQ;12/02/2018;12;1,020;E
ES0021000001720511XQ;12/02/2018;13;1,029;E
ES0021000001720511XQ;12/02/2018;14;1,047;E
ES0021000001720511XQ;12/02/2018;15;0,996;E
ES0021000001720511XQ;12/02/2018;16;0,942;E
ES0021000001720511XQ;12/02/2018;17;0,937;E
ES0021000001720511XQ;12/02/2018;18;0,977;E
ES0021000001720511XQ;12/02/2018;19;1,053;E
ES0021000001720511XQ;12/02/2018;20;1,183;E
ES0021000001720511XQ;12/02/2018;21;1,238;E
ES0021000001720511XQ;12/02/2018;22;1,205;E
ES0021000001720511XQ;12/02/2018;23;1,042;E
ES0021000001720511XQ;12/02/2018;24;0,828;E
ES0021000001720511XQ;13/02/2018;1;1,379;R
ES0021000001720511XQ;13/02/2018;2;0,222;R
ES0021000001720511XQ;13/02/2018;3;0,106;R
ES0021000001720511XQ;13/02/2018;4;0,134;R
ES0021000001720511XQ;13/02/2018;5;0,157;R
ES0021000001720511XQ;13/02/2018;6;0,110;R
ES0021000001720511XQ;13/02/2018;7;1,754;R
ES0021000001720511XQ;13/02/2018;8;1,887;R
ES0021000001720511XQ;13/02/2018;9;0,197;R
ES0021000001720511XQ;13/02/2018;10;0,141;R
ES0021000001720511XQ;13/02/2018;11;0,094;R
ES0021000001720511XQ;13/02/2018;12;0,093;R
ES0021000001720511XQ;13/02/2018;13;0,092;R
ES0021000001720511XQ;13/02/2018;14;0,142;R
ES0021000001720511XQ;13/02/2018;15;0,311;R
ES0021000001720511XQ;13/02/2018;16;0,508;R
ES0021000001720511XQ;13/02/2018;17;1,422;R
ES0021000001720511XQ;13/02/2018;18;0,782;R
ES0021000001720511XQ;13/02/2018;19;1,005;R
ES0021000001720511XQ;13/02/2018;20;0,606;R
ES0021000001720511XQ;13/02/2018;21;0,608;R
ES0021000001720511XQ;13/02/2018;22;2,119;R
ES0021000001720511XQ;13/02/2018;23;2,470;R
ES0021000001720511XQ;13/02/2018;24;2,384;R
ES0021000001720511XQ;14/02/2018;1;0,657;R
ES0021000001720511XQ;14/02/2018;2;0,269;R
ES0021000001720511XQ;14/02/2018;3;0,299;R
ES0021000001720511XQ;14/02/2018;4;0,243;R
ES0021000001720511XQ;14/02/2018;5;0,242;R
ES0021000001720511XQ;14/02/2018;6;0,266;R
ES0021000001720511XQ;14/02/2018;7;1,002;R
ES0021000001720511XQ;14/02/2018;8;1,007;R
ES0021000001720511XQ;14/02/2018;9;0,295;R
ES0021000001720511XQ;14/02/2018;10;0,780;R
ES0021000001720511XQ;14/02/2018;11;1,110;R
ES0021000001720511XQ;14/02/2018;12;1,240;R
ES0021000001720511XQ;14/02/2018;13;1,218;R
ES0021000001720511XQ;14/02/2018;14;1,230;R
ES0021000001720511XQ;14/02/2018;15;2,967;R
ES0021000001720511XQ;14/02/2018;16;1,230;R
ES0021000001720511XQ;14/02/2018;17;1,318;R
ES0021000001720511XQ;14/02/2018;18;0,658;R
