CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;22/02/2018;10;0,921;E
ES0021000001720511XQ;22/02/2018;11;0,991;E
ES0021000001720511XQ;22/02/2018;12;0,996;E
ES0021000001720511XQ;22/02/2018;13;1,006;E
ES0021000001720511XQ;22/02/2018;14;1,023;E
ES0021000001720511XQ;22/02/2018;15;0,976;E
ES0021000001720511XQ;22/02/2018;16;0,927;E
ES0021000001720511XQ;22/02/2018;17;0,924;E
ES0021000001720511XQ;22/02/2018;18;0,966;E
ES0021000001720511XQ;22/02/2018;19;1,045;E
ES0021000001720511XQ;22/02/2018;20;1,171;E
ES0021000001720511XQ;22/02/2018;21;1,224;E
ES0021000001720511XQ;22/02/2018;22;1,188;E
ES0021000001720511XQ;22/02/2018;23;1,030;E
ES0021000001720511XQ;22/02/2018;24;0,821;E
ES0021000001720511XQ;23/02/2018;1;0,466;R
ES0021000001720511XQ;23/02/2018;2;0,242;R
ES0021000001720511XQ;23/02/2018;3;0,238;R
ES0021000001720511XQ;23/02/2018;4;0,290;R
ES0021000001720511XQ;23/02/2018;5;0,214;R
ES0021000001720511XQ;23/02/2018;6;0,106;R
ES0021000001720511XQ;23/02/2018;7;1,646;R
ES0021000001720511XQ;23/02/2018;8;1,065;R
ES0021000001720511XQ;23/02/2018;9;0,209;R
ES0021000001720511XQ;23/02/2018;10;0,336;R
ES0021000001720511XQ;23/02/2018;11;0,804;R
ES0021000001720511XQ;23/02/2018;12;0,570;R
ES0021000001720511XQ;23/02/2018;13;0,317;R
ES0021000001720511XQ;23/02/2018;14;0,319;R
ES0021000001720511XQ;23/02/2018;15;0,851;R
ES0021000001720511XQ;23/02/2018;16;1,423;R
ES0021000001720511XQ;23/02/2018;17;1,329;R
ES0021000001720511XQ;23/02/2018;18;1,029;R
ES0021000001720511XQ;23/02/2018;19;1,237;R
ES0021000001720511XQ;23/02/2018;20;0,640;R
ES0021000001720511XQ;23/02/2018;21;1,887;R
ES0021000001720511XQ;23/02/2018;22;2,059;R
ES0021000001720511XQ;23/02/2018;23;1,685;R
ES0021000001720511XQ;23/02/2018;24;1,029;R
ES0021000001720511XQ;24/02/2018;1;0,658;E
ES0021000001720511XQ;24/02/2018;2;0,533;E
ES0021000001720511XQ;24/02/2018;3;0,460;E
ES0021000001720511XQ;24/02/2018;4;0,421;E
ES0021000001720511XQ;24/02/2018;5;0,405;E
ES0021000001720511XQ;24/02/2018;6;0,406;E
ES0021000001720511XQ;24/02/2018;7;0,432;E
ES0021000001720511XQ;24/02/2018;8;0,492;E
ES0021000001720511XQ;24/02/2018;9;0,625;E
ES0021000001720511XQ;24/02/2018;10;0,810;E
ES0021000001720511XQ;24/02/2018;11;0,947;E
ES0021000001720511XQ;24/02/2018;12;0,977;E
ES0021000001720511XQ;24/02/2018;13;0,982;E
ES0021000001720511XQ;24/02/2018;14;1,013;E
ES0021000001720511XQ;24/02/2018;15;0,986;E
ES0021000001720511XQ;24/02/2018;16;0,901;E
ES0021000001720511XQ;24/02/2018;17;0,848;E
ES0021000001720511XQ;24/02/2018;18;0,836;E
ES0021000001720511XQ;24/02/2018;19;0,889;E
ES0021000001720511XQ;24/02/2018;20;0,971;E
ES0021000001720511XQ;24/02/2018;21;1,027;E
ES0021000001720511XQ;24/02/2018;22;1,035;E
ES0021000001720511XQ;24/02/2018;23;0,936;E
ES0021000001720511XQ;24/02/2018;24;0,803;E
ES0021000001720511XQ;25/02/2018;1;0,617;R
ES0021000001720511XQ;25/02/2018;2;1,834;R
ES0021000001720511XQ;25/02/2018;3;0,367;R
ES0021000001720511XQ;25/02/2018;4;0,365;R
ES0021000001720511XQ;25/02/2018;5;0,413;R
ES0021000001720511XQ;25/02/2018;6;0,377;R
ES0021000001720511XQ;25/02/2018;7;0,334;R
ES0021000001720511XQ;25/02/2018;8;0,234;R
ES0021000001720511XQ;25/02/2018;9;0,282;R
ES0021000001720511XQ;25/02/2018;10;0,700;R
ES0021000001720511XQ;25/02/2018;11;0,733;R
ES0021000001720511XQ;25/02/2018;12;2,517;R
ES0021000001720511XQ;25/02/2018;13;3,094;R
ES0021000001720511XQ;25/02/2018;14;3,319;R
ES0021000001720511XQ;25/02/2018;15;3,818;R
ES0021000001720511XQ;25/02/2018;16;0,647;R
ES0021000001720511XQ;25/02/2018;17;2,349;R
ES0021000001720511XQ;25/02/2018;18;1,614;R
ES0021000001720511XQ;25/02/2018;19;0,830;R
ES0021000001720511XQ;25/02/2018;20;1,515;R
ES0021000001720511XQ;25/02/2018;21;0,883;R
ES0021000001720511XQ;25/02/2018;22;1,360;R
ES0021000001720511XQ;25/02/2018;23;1,479;R
ES0021000001720511XQ;25/02/2018;24;1,268;R
ES0021000001720511XQ;26/02/2018;1;0,601;E
ES0021000001720511XQ;26/02/2018;2;0,480;E
ES0021000001720511XQ;26/02/2018;3;0,422;E
ES0021000001720511XQ;26/02/2018;4;0,397;E
ES0021000001720511XQ;26/02/2018;5;0,391;E
ES0021000001720511XQ;26/02/2018;6;0,406;E
ES0021000001720511XQ;26/02/2018;7;0,486;E
ES0021000001720511XQ;26/02/2018;8;0,676;E
ES0021000001720511XQ;26/02/2018;9;0,820;E
ES0021000001720511XQ;26/02/2018;10;0,905;E
ES0021000001720511XQ;26/02/2018;11;0,980;E
ES0021000001720511XQ;26/02/2018;12;0,990;E
ES0021000001720511XQ;26/02/2018;13;0,999;E
ES0021000001720511XQ;26/02/2018;14;1,017;E
ES0021000001720511XQ;26/02/2018;15;0,967;E
ES0021000001720511XQ;26/02/2018;16;0,915;E
ES0021000001720511XQ;26/02/2018;17;0,910;E
