CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;10/03/2018;23;2,340;R
ES0021000001720511XQ;10/03/2018;24;0,813;R
ES0021000001720511XQ;11/03/2018;1;0,714;R
ES0021000001720511XQ;11/03/2018;2;1,267;R
ES0021000001720511XQ;11/03/2018;3;0,541;R
ES0021000001720511XQ;11/03/2018;4;0,254;R
ES0021000001720511XQ;11/03/2018;5;0,263;R
ES0021000001720511XQ;11/03/2018;6;0,286;R
ES0021000001720511XQ;11/03/2018;7;0,250;R
ES0021000001720511XQ;11/03/2018;8;0,236;R
ES0021000001720511XQ;11/03/2018;9;0,246;R
ES0021000001720511XQ;11/03/2018;10;0,782;R
ES0021000001720511XQ;11/03/2018;11;2,323;R
ES0021000001720511XQ;11/03/2018;12;2,232;R
ES0021000001720511XQ;11/03/2018;13;3,520;R
ES0021000001720511XQ;11/03/2018;14;2,936;R
ES0021000001720511XQ;11/03/2018;15;3,247;R
ES0021000001720511XQ;11/03/2018;16;0,823;R
ES0021000001720511XQ;11/03/2018;17;2,910;R
ES0021000001720511XQ;11/03/2018;18;1,769;R
ES0021000001720511XQ;11/03/2018;19;0,562;R
ES0021000001720511XQ;11/03/2018;20;0,544;R
ES0021000001720511XQ;11/03/2018;21;0,683;R
ES0021000001720511XQ;11/03/2018;22;0,982;R
ES0021000001720511XQ;11/03/2018;23;2,255;R
ES0021000001720511XQ;11/03/2018;24;1,987;R
ES0021000001720511XQ;12/03/2018;1;0,580;E
ES0021000001720511XQ;12/03/2018;2;0,466;E
ES0021000001720511XQ;12/03/2018;3;0,411;E
ES0021000001720511XQ;12/03/2018;4;0,386;E
ES0021000001720511XQ;12/03/2018;5;0,379;E
ES0021000001720511XQ;12/03/2018;6;0,393;E
ES0021000001720511XQ;12/03/2018;7;0,463;E
ES0021000001720511XQ;12/03/2018;8;0,623;E
ES0021000001720511XQ;12/03/2018;9;0,760;E
ES0021000001720511XQ;12/03/2018;10;0,852;E
ES0021000001720511XQ;12/03/2018;11;0,922;E
ES0021000001720511XQ;12/03/2018;12;0,938;E
ES0021000001720511XQ;12/03/2018;13;0,949;E
ES0021000001720511XQ;12/03/2018;14;0,972;E
ES0021000001720511XQ;12/03/2018;15;0,926;E
ES0021000001720511XQ;12/03/2018;16;0,864;E
ES0021000001720511XQ;12/03/2018;17;0,851;E
ES0021000001720511XQ;12/03/2018;18;0,875;E
ES0021000001720511XQ;12/03/2018;19;0,912;E
ES0021000001720511XQ;12/03/2018;20;1,011;E
ES0021000001720511XQ;12/03/2018;21;1,101;E
ES0021000001720511XQ;12/03/2018;22;1,103;E
ES0021000001720511XQ;12/03/2018;23;0,957;E
ES0021000001720511XQ;12/03/2018;24;0,762;E
ES0021000001720511XQ;13/03/2018;1;0,423;E
ES0021000001720511XQ;13/03/2018;2;0,338;E
ES0021000001720511XQ;13/03/2018;3;0,299;E
ES0021000001720511XQ;13/03/2018;4;0,282;E
ES0021000001720511XQ;13/03/2018;5;0,278;E
ES0021000001720511XQ;13/03/2018;6;0,288;E
ES0021000001720511XQ;13/03/2018;7;0,342;E
ES0021000001720511XQ;13/03/2018;8;0,464;E
ES0021000001720511XQ;13/03/2018;9;0,562;E
ES0021000001720511XQ;13/03/2018;10;0,619;E
ES0021000001720511XQ;13/03/2018;11;0,661;E
ES0021000001720511XQ;13/03/2018;12;0,666;E
ES0021000001720511XQ;13/03/2018;13;0,675;E
ES0021000001720511XQ;13/03/2018;14;0,687;E
ES0021000001720511XQ;13/03/2018;15;0,656;E
ES0021000001720511XQ;13/03/2018;16;0,616;E
ES0021000001720511XQ;13/03/2018;17;0,606;E
ES0021000001720511XQ;13/03/2018;18;0,624;E
ES0021000001720511XQ;13/03/2018;19;0,650;E
ES0021000001720511XQ;13/03/2018;20;0,727;E
ES0021000001720511XQ;13/03/2018;21;0,797;E
ES0021000001720511XQ;13/03/2018;22;0,793;E
ES0021000001720511XQ;13/03/2018;23;0,692;E
ES0021000001720511XQ;13/03/2018;24;0,558;E
ES0021000001720511XQ;14/03/2018;1;0,424;E
ES0021000001720511XQ;14/03/2018;2;0,339;E
ES0021000001720511XQ;14/03/2018;3;0,299;E
ES0021000001720511XQ;14/03/2018;4;0,283;E
ES0021000001720511XQ;14/03/2018;5;0,278;E
ES0021000001720511XQ;14/03/2018;6;0,289;E
ES0021000001720511XQ;14/03/2018;7;0,342;E
ES0021000001720511XQ;14/03/2018;8;0,465;E
ES0021000001720511XQ;14/03/2018;9;0,563;E
ES0021000001720511XQ;14/03/2018;10;0,620;E
ES0021000001720511XQ;14/03/2018;11;0,662;E
ES0021000001720511XQ;14/03/2018;12;0,667;E
ES0021000001720511XQ;14/03/2018;13;0,676;E
ES0021000001720511XQ;14/03/2018;14;0,689;E
ES0021000001720511XQ;14/03/2018;15;0,657;E
ES0021000001720511XQ;14/03/2018;16;0,617;E
ES0021000001720511XQ;14/03/2018;17;0,607;E
ES0021000001720511XQ;14/03/2018;18;0,625;E
ES0021000001720511XQ;14/03/2018;19;0,651;E
ES0021000001720511XQ;14/03/2018;20;0,728;E
ES0021000001720511XQ;14/03/2018;21;0,799;E
ES0021000001720511XQ;14/03/2018;22;0,795;E
ES0021000001720511XQ;14/03/2018;23;0,693;E
ES0021000001720511XQ;14/03/2018;24;0,559;E
ES0021000001720511XQ;15/03/2018;1;1,409;R
ES0021000001720511XQ;15/03/2018;2;0,371;R
ES0021000001720511XQ;15/03/2018;3;0,403;R
ES0021000001720511XQ;15/03/2018;4;0,420;R
ES0021000001720511XQ;15/03/2018;5;0,385;R
ES0021000001720511XQ;15/03/2018;6;0,271;R
ES0021000001720511XQ;15/03/2018;7;1,531;R
ES0021000001720511XQ;15/03/2018;8;1,145;R
ES0021000001720511XQ;15/03/2018;9;0,439;R
ES0021000001720511XQ;15/03/2018;10;1,347;R
ES0021000001720511XQ;15/03/2018;11;0,398;R
ES0021000001720511XQ;15/03/2018;12;0,225;R
ES0021000001720511XQ;15/03/2018;13;0,252;R
ES0021000001720511XQ;15/03/2018;14;0,275;R
ES0021000001720511XQ;15/03/2018;15;0,239;R
ES0021000001720511XQ;15/03/2018;16;1,638;R
ES0021000001720511XQ;15/03/2018;17;1,000;R
ES0021000001720511XQ;15/03/2018;18;1,244;R
ES0021000001720511XQ;15/03/2018;19;0,497;R
ES0021000001720511XQ;15/03/2018;20;0,336;R
ES0021000001720511XQ;15/03/2018;21;0,339;R
ES0021000001720511XQ;15/03/2018;22;1,914;R
ES0021000001720511XQ;15/03/2018;23;1,355;R
ES0021000001720511XQ;15/03/2018;24;1,222;R
ES0021000001720511XQ;16/03/2018;1;1,105;R
ES0021000001720511XQ;16/03/2018;2;0,403;R
ES0021000001720511XQ;16/03/2018;3;0,327;R
ES0021000001720511XQ;16/03/2018;4;0,242;R
ES0021000001720511XQ;16/03/2018;5;0,244;R
ES0021000001720511XQ;16/03/2018;6;0,294;R
